total_cost,total_penalty,run
8001058.153282585,20322.275661373616,Scaling 1e-05
8067866.1949014105,19774.694529058386,Scaling 418.70681
8135812.084534893,19693.778547244547,Scaling 837.4136
8168403.970021804,19646.045624372255,Scaling 1256.1204
8238515.134756104,19619.431401962654,Scaling 1674.8272
8283262.127864691,19598.411620600556,Scaling 2093.534
8335869.846602452,19582.867869566267,Scaling 2512.2408
8394983.064020518,19564.7083931691,Scaling 2930.94759
8470416.911237385,19545.052082008693,Scaling 3349.65439
