"","median_velocity","mean_log_velocity","run","scenario","approach","mean_oxygen_decline","mean_log_oxygen_decline","mean_ocean_acidification","mean_log_ocean_acidification","mean_climate_warming","mean_log_climate_warming","sum_area","total_cost","percent_area","num_pu"
"1",15.8083544904742,2.84457002150413,"imptfeature_tos_585",585,"imptfeature",-0.000139221454240045,-9.72058643443463,-0.00452634545377131,-6.52356279404162,0.0396466257256761,-3.23358544783113,9939976.2,9939976.2,41.92828279974,14838
"2",15.8083544904742,2.80778954482278,"imptfeature_phos_585",585,"imptfeature",-0.000143584346283005,-9.79406637325404,-0.00446305602873709,-6.48001383137148,0.0419504751537036,-3.17393036889683,11849861.1,11849861.1,49.9844584475402,17689
"3",15.8083544904742,2.93805008196049,"imptfeature_o2os_585",585,"imptfeature",-0.000138747392538545,-9.71889382867858,-0.00450109820980729,-6.50630112170683,0.0405709099424783,-3.21014262855501,7113668.1,7113668.1,30.006499194665,10619
"4",15.8083544904742,2.66777671656619,"imptfeature_velocity_585",585,"imptfeature",-0.000143944572948359,-9.80753443235048,-0.00449699952192429,-6.50410315600157,0.0415252576483991,-3.18555768738046,8609554.8,8609554.8,36.3163694933454,12852
"5",15.8083544904742,2.88603653708054,"penalty_tos_585",585,"penalty",-0.000138121978497924,-9.70182646196963,-0.00452010075634349,-6.51996641467179,0.0393074950805111,-3.24118167459496,7107639,7107639,29.9810675633672,10610
"6",15.8083544904742,2.87383336872134,"penalty_phos_585",585,"penalty",-0.000143593481207408,-9.79945787378807,-0.00443476201359079,-6.4618581796806,0.0419870837251694,-3.17410583503571,7107639,7107639,29.9810675633672,10610
"7",15.8083544904742,2.97518769722063,"penalty_o2os_585",585,"penalty",-0.000135880804097795,-9.66417267006071,-0.00451272186687004,-6.51417238290599,0.0398744020094386,-3.22665761679041,7107639,7107639,29.9810675633672,10610
"8",11.944765621001,2.40609312495478,"penalty_velocity_585",585,"penalty",-0.00014505855224981,-9.82891068121387,-0.00449890430186128,-6.50588486090326,0.0415362159200626,-3.18603712816452,7107639,7107639,29.9810675633672,10610
"9",15.8083544904742,2.85173164493005,"feature_tos_585",585,"feature",-0.000141760072119374,-9.76820109033021,-0.00449256432762283,-6.50036224048821,0.0410932754630805,-3.19672622632758,7107639,7107639,29.9810675633672,10610
"10",15.8083544904742,2.86205234386558,"feature_phos_585",585,"feature",-0.000141733759395319,-9.76800082365789,-0.00449007037087334,-6.49864131993614,0.0411568074612986,-3.19507880991647,7107639,7107639,29.9810675633672,10610
"11",15.8083544904742,2.85867902802609,"feature_o2os_585",585,"feature",-0.000141909672455207,-9.77068622356105,-0.0044889453951989,-6.49780374058566,0.0412134291980374,-3.19361350263528,7107639,7107639,29.9810675633672,10610
"12",15.8083544904742,2.86388911875595,"feature_velocity_585",585,"feature",-0.000141658675674767,-9.76697032642728,-0.00448998328513438,-6.49861271764453,0.041220645211121,-3.19364224492097,7107639,7107639,29.9810675633672,10610
"13",15.8083544904742,2.7523117250303,"percentile_tos_585",585,"percentile",-0.000139164309150247,-9.7153950761352,-0.00452132959002209,-6.51963778496211,0.0397586023557581,-3.22864597076799,13016826.9,13016826.9,54.9068919720817,19431
"14",15.8083544904742,2.91764373221341,"percentile_phos_585",585,"percentile",-0.000144559291911356,-9.81697477946124,-0.00445162024985946,-6.47196334214194,0.0423093532360077,-3.16594891471455,15044614.2,15044614.2,63.4603972985956,22458
"15",15.8083544904742,2.83733719670335,"percentile_o2os_585",585,"percentile",-0.000138422812512325,-9.70144386179941,-0.00451380321892928,-6.51429036605929,0.0403071491099077,-3.21500170601093,13191000.9,13191000.9,55.6415835429088,19691
"16",15.2676976443725,2.52795052927167,"percentile_velocity_585",585,"percentile",-0.000143394682353189,-9.79242103699859,-0.00450824027210312,-6.51095699207311,0.041232981655515,-3.19218828205078,13939279.2,13939279.2,58.7979315606544,20808
"17",NA,NA,"percentile_tos_126",NA,NA,NA,NA,NA,NA,NA,NA,14688897.3,14688897.3,61.9599310520218,21927
"18",NA,NA,"percentile_tos_245",NA,NA,NA,NA,NA,NA,NA,NA,13266029.7,13266029.7,55.9580660657266,19803
